epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.725,1.25908,3.90229,1.41858,0.01,0.89832,0.1366,0.0886,0.83985,3.29903,1.09715,0.0002695,0.0002695,0.0002695
2,212.951,1.22464,3.31096,1.38993,0.08046,0.78481,0.28336,0.1578,1.06352,2.92824,1.25152,0.00054175,0.00054175,0.00054175
3,219.012,1.22499,2.75006,1.39152,0.41257,0.39289,0.37423,0.23741,1.34962,2.80693,1.53881,0.000808502,0.000808502,0.000808502
4,224.691,1.29373,2.22765,1.41587,0.5261,0.64321,0.62812,0.41026,1.17143,1.9667,1.45578,0.00080826,0.00080826,0.00080826
5,230.291,1.2365,1.99145,1.3786,0.81856,0.66235,0.77688,0.50762,1.22662,1.60928,1.40993,0.000800013,0.000800013,0.000800013
6,235.928,1.19876,1.78581,1.32129,0.74078,0.72815,0.77696,0.53885,1.01475,1.45307,1.24814,0.000791767,0.000791767,0.000791767
7,242.735,1.19511,1.75608,1.33749,0.72646,0.78007,0.84216,0.57011,1.00762,1.40108,1.17536,0.00078352,0.00078352,0.00078352
8,248.385,1.13301,1.61689,1.2865,0.70545,0.68338,0.75711,0.49074,1.21486,1.81639,1.30587,0.000775273,0.000775273,0.000775273
9,254.022,1.14655,1.5105,1.26976,0.79202,0.81422,0.86022,0.61772,1.05531,1.47668,1.38154,0.000767026,0.000767026,0.000767026
10,260.643,1.15542,1.46631,1.29581,0.72073,0.74884,0.79243,0.54089,1.05927,1.39823,1.27624,0.00075878,0.00075878,0.00075878
11,266.777,1.12273,1.37213,1.2659,0.72129,0.80444,0.85354,0.6498,0.84962,1.31522,1.11982,0.000750533,0.000750533,0.000750533
12,272.675,1.06016,1.29664,1.22917,0.74121,0.72237,0.79984,0.6127,0.92086,1.40704,1.23406,0.000742286,0.000742286,0.000742286
13,278.325,1.04905,1.28961,1.22918,0.81118,0.78057,0.88607,0.66791,0.86685,1.13066,1.12231,0.00073404,0.00073404,0.00073404
14,283.983,1.02374,1.18987,1.20555,0.85467,0.79552,0.89051,0.68431,0.88118,0.9973,1.13368,0.000725793,0.000725793,0.000725793
15,290.109,0.9887,1.19336,1.19011,0.81014,0.79337,0.8605,0.64046,0.91607,1.08175,1.21206,0.000717546,0.000717546,0.000717546
16,296.681,1.02972,1.14731,1.19988,0.88442,0.89828,0.92295,0.67923,0.91915,0.87745,1.14236,0.000709299,0.000709299,0.000709299
17,303.304,0.99184,1.14477,1.20106,0.86093,0.85031,0.90272,0.69848,0.86472,0.96932,1.17012,0.000701053,0.000701053,0.000701053
18,309.842,0.99472,1.08379,1.19413,0.87736,0.7706,0.88467,0.67262,0.84307,0.9611,1.13862,0.000692806,0.000692806,0.000692806
19,316.317,0.98715,1.0653,1.19601,0.77242,0.79942,0.84354,0.6627,0.90609,1.11483,1.18238,0.000684559,0.000684559,0.000684559
20,322.932,0.97466,1.04494,1.17403,0.82826,0.88413,0.90252,0.70597,0.8159,0.88939,1.1089,0.000676313,0.000676313,0.000676313
21,329.465,0.9425,1.02028,1.15413,0.92224,0.87389,0.93568,0.72017,0.82471,0.85772,1.12583,0.000668066,0.000668066,0.000668066
22,336.074,0.91484,0.95246,1.15128,0.83485,0.95243,0.92976,0.71427,0.83305,0.8209,1.08642,0.000659819,0.000659819,0.000659819
23,342.519,0.95974,0.96249,1.16635,0.81047,0.81636,0.86037,0.62672,1.00696,0.97938,1.24942,0.000651573,0.000651573,0.000651573
24,349.136,0.94962,0.98364,1.16684,0.83345,0.90729,0.91115,0.7118,0.83387,0.73594,1.12468,0.000643326,0.000643326,0.000643326
